"Source:","C:\Users\Mitsuyoshi Sugaya\Desktop\KiCad\Prototype\Power Module Mk1\Power Module Mk1.kicad_sch"
"Date:","2021/12/30 10:25:43"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","14"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","RS Part Number","RS Price/Stock"
"","","C1","GRM188R61A226ME15J","SamacSys_Parts:GRM188R61A226ME15J","SamacSys_Parts:CAPC1608X90N","http://componentsearchengine.com/Datasheets/1/GRM188R61A226ME15J.pdf","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 22uF 10volts *Derate Voltage/Temp","0.9","Murata Electronics","GRM188R61A226ME15J","",""
"","","C2","GRM188R61A226ME15J","SamacSys_Parts:GRM188R61A226ME15J","SamacSys_Parts:CAPC1608X90N","http://componentsearchengine.com/Datasheets/1/GRM188R61A226ME15J.pdf","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 22uF 10volts *Derate Voltage/Temp","0.9","Murata Electronics","GRM188R61A226ME15J","",""
"","","C3","GRM188R6YA106MA73D","SamacSys_Parts:GRM188R6YA106MA73D","SamacSys_Parts:CAPC1608X90N","http://uk.rs-online.com/web/p/products/1726888P","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 10uF 35volts *Derate Voltage/Temp","0.9","Murata Electronics","GRM188R6YA106MA73D","1726888P","http://uk.rs-online.com/web/p/products/1726888P"
"","","C4","GRM188R6YA106MA73D","SamacSys_Parts:GRM188R6YA106MA73D","SamacSys_Parts:CAPC1608X90N","http://uk.rs-online.com/web/p/products/1726888P","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 10uF 35volts *Derate Voltage/Temp","0.9","Murata Electronics","GRM188R6YA106MA73D","1726888P","http://uk.rs-online.com/web/p/products/1726888P"
"","","D1","SS10P6-M3_86A","SamacSys_Parts:SS10P6-M3_86A","SamacSys_Parts:SS10P6M386A","http://uk.rs-online.com/web/p/products/7103667P","70217450","Diode Schottky 60V 10A  SMPC","1.2","Vishay","SS10P6-M3/86A","7103667P","http://uk.rs-online.com/web/p/products/7103667P"
"","","D2","SS10P6-M3_86A","SamacSys_Parts:SS10P6-M3_86A","SamacSys_Parts:SS10P6M386A","http://uk.rs-online.com/web/p/products/7103667P","70217450","Diode Schottky 60V 10A  SMPC","1.2","Vishay","SS10P6-M3/86A","7103667P","http://uk.rs-online.com/web/p/products/7103667P"
"","","J1","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","","","","","",""
"","","J2","0031.8201","SamacSys_Parts:0031.8201","SamacSys_Parts:0031.8201","http://uk.rs-online.com/web/p/products/2508764386","","Fuse Holder FUSE-HOLDER OGN","","SCHURTER","0031.8201","2508764386","http://uk.rs-online.com/web/p/products/2508764386"
"","","PS1","OKL-T_6-W12N-C","SamacSys_Parts:OKL-T_6-W12N-C","SamacSys_Parts:OKLT6W12NC","http://uk.rs-online.com/web/p/products/1736944","","Non-Isolated DC/DC Converters 12Vin .59-5.5Vout 6A 30W Neg Polarity","7.2","Murata Electronics","OKL-T/6-W12N-C","1736944","http://uk.rs-online.com/web/p/products/1736944"
"","","PS2","OKL-T_6-W12N-C","SamacSys_Parts:OKL-T_6-W12N-C","SamacSys_Parts:OKLT6W12NC","http://uk.rs-online.com/web/p/products/1736944","","Non-Isolated DC/DC Converters 12Vin .59-5.5Vout 6A 30W Neg Polarity","7.2","Murata Electronics","OKL-T/6-W12N-C","1736944","http://uk.rs-online.com/web/p/products/1736944"
